"","Artistic","Conventional","Enterprising","Investigative","Realistic","Social","income","X5","title"
"14","33","56","45","100","61","11","$40.81 hourly, $84,890 annual","https://www.onetonline.org/link/details/17-2081.00","17-2081.00 - Environmental Engineers"
"15","6","45","22","83","72","6","$21.25 hourly, $44,190 annual","https://www.onetonline.org/link/details/19-4091.00","19-4091.00 - Environmental Science and Protection Technicians, Including Health"
"16","0","45","22","33","95","11","$19.54 hourly, $40,640 annual","https://www.onetonline.org/link/details/47-4041.00","47-4041.00 - Hazardous Materials Removal Workers"
"17","6","50","33","17","100","17","$15.88 hourly, $33,040 annual","https://www.onetonline.org/link/details/37-2021.00","37-2021.00 - Pest Control Workers"
"18","0","45","22","6","100","0","$16.95 hourly, $35,270 annual","https://www.onetonline.org/link/details/53-7081.00","53-7081.00 - Refuse and Recyclable Material Collectors"
"19","6","45","17","22","89","0","$22.00 hourly, $45,760 annual","https://www.onetonline.org/link/details/51-8031.00","51-8031.00 - Water and Wastewater Treatment Plant and System Operators"
"20","22","39","50","89","78","11","$40.81 hourly, $84,890 annual","https://www.onetonline.org/link/details/17-2081.01","17-2081.01 - Water/Wastewater Engineers"
"21","0","56","22","67","89","6","$18.05 hourly, $37,550 annual","https://www.onetonline.org/link/details/19-4011.01","19-4011.01 - Agricultural Technicians"
"22","11","67","11","67","78","0","$18.05 hourly, $37,550 annual","https://www.onetonline.org/link/details/19-4011.02","19-4011.02 - Food Science Technicians"
"23","0","56","22","67","89","6","$18.05 hourly, $37,550 annual","https://www.onetonline.org/link/details/19-4011.01","19-4011.01 - Agricultural Technicians"
"24","0","61","72","22","89","22","$21.79 hourly, $45,320 annual","https://www.onetonline.org/link/details/45-1011.07","45-1011.07 - First-Line Supervisors of Agricultural Crop and Horticultural Workers"
"25","0","39","95","22","83","17","$21.79 hourly, $45,320 annual","https://www.onetonline.org/link/details/45-1011.08","45-1011.08 - First-Line Supervisors of Animal Husbandry and Animal Care Workers"
"26","0","67","100","28","72","22","$21.79 hourly, $45,320 annual","https://www.onetonline.org/link/details/45-1011.06","45-1011.06 - First-Line Supervisors of Aquacultural Workers"
"27","6","56","100","17","78","33","$21.79 hourly, $45,320 annual","https://www.onetonline.org/link/details/45-1011.05","45-1011.05 - First-Line Supervisors of Logging Workers"
"28","0","67","100","28","72","22","$21.79 hourly, $45,320 annual","https://www.onetonline.org/link/details/45-1011.06","45-1011.06 - First-Line Supervisors of Aquacultural Workers"
"29","0","61","72","22","89","22","$21.79 hourly, $45,320 annual","https://www.onetonline.org/link/details/45-1011.07","45-1011.07 - First-Line Supervisors of Agricultural Crop and Horticultural Workers"
"30","0","39","95","22","83","17","$21.79 hourly, $45,320 annual","https://www.onetonline.org/link/details/45-1011.08","45-1011.08 - First-Line Supervisors of Animal Husbandry and Animal Care Workers"
"31","6","56","100","17","78","33","$21.79 hourly, $45,320 annual","https://www.onetonline.org/link/details/45-1011.05","45-1011.05 - First-Line Supervisors of Logging Workers"
"32","11","67","11","67","78","0","$18.05 hourly, $37,550 annual","https://www.onetonline.org/link/details/19-4011.02","19-4011.02 - Food Science Technicians"
"33","33","56","22","100","72","6","$30.74 hourly, $63,950 annual","https://www.onetonline.org/link/details/19-1012.00","19-1012.00 - Food Scientists and Technologists"
"34","6","78","11","33","83","0","$10.83 hourly, $22,520 annual","https://www.onetonline.org/link/details/45-2041.00","45-2041.00 - Graders and Sorters, Agricultural Products"
"35","28","56","89","72","6","17","$57.62 hourly, $119,850 annual","https://www.onetonline.org/link/details/11-9121.01","11-9121.01 - Clinical Research Coordinators"
"36","0","39","17","17","100","0","$17.96 hourly, $37,370 annual","https://www.onetonline.org/link/details/45-4021.00","45-4021.00 - Fallers"
"37","0","11","22","17","100","0","$13.04 hourly, $27,110 annual","https://www.onetonline.org/link/details/45-3011.00","45-3011.00 - Fishers and Related Fishing Workers"
"38","28","33","50","50","72","39","$17.10 hourly, $35,560 annual","https://www.onetonline.org/link/details/19-4093.00","19-4093.00 - Forest and Conservation Technicians"
"39","6","61","33","45","100","11","$12.95 hourly, $26,940 annual","https://www.onetonline.org/link/details/45-4011.00","45-4011.00 - Forest and Conservation Workers"
"40","6","33","50","78","95","22","$28.22 hourly, $58,700 annual","https://www.onetonline.org/link/details/19-1032.00","19-1032.00 - Foresters"
"41","6","95","28","67","78","6","$27.15 hourly, $56,470 annual","https://www.onetonline.org/link/details/19-4041.01","19-4041.01 - Geophysical Data Technicians"
"42","0","45","11","78","83","0","$27.15 hourly, $56,470 annual","https://www.onetonline.org/link/details/19-4041.02","19-4041.02 - Geological Sample Test Technicians"
"43","0","45","11","78","83","0","$27.15 hourly, $56,470 annual","https://www.onetonline.org/link/details/19-4041.02","19-4041.02 - Geological Sample Test Technicians"
"44","6","95","28","67","78","6","$27.15 hourly, $56,470 annual","https://www.onetonline.org/link/details/19-4041.01","19-4041.01 - Geophysical Data Technicians"
"45","11","11","11","22","100","0","$14.08 hourly, $29,280 annual","https://www.onetonline.org/link/details/45-3021.00","45-3021.00 - Hunters and Trappers"
"46","0","61","33","17","83","0","$17.83 hourly, $37,090 annual","https://www.onetonline.org/link/details/45-4023.00","45-4023.00 - Log Graders and Scalers"
"47","0","45","11","45","100","0","$18.03 hourly, $37,490 annual","https://www.onetonline.org/link/details/45-4022.00","45-4022.00 - Logging Equipment Operators"
"48","6","33","100","72","33","11","$57.62 hourly, $119,850 annual","https://www.onetonline.org/link/details/11-9121.00","11-9121.00 - Natural Sciences Managers"
"49","17","50","56","95","28","11","$57.62 hourly, $119,850 annual","https://www.onetonline.org/link/details/11-9121.02","11-9121.02 - Water Resource Specialists"
"50","22","33","28","100","72","11","$29.10 hourly, $60,520 annual","https://www.onetonline.org/link/details/19-1023.00","19-1023.00 - Zoologists and Wildlife Biologists"
"51","6","61","22","67","89","11","$20.44 hourly, $42,520 annual","https://www.onetonline.org/link/details/19-4021.00","19-4021.00 - Biological Technicians"
"52","0","17","0","6","100","0","$10.58 hourly, $22,000 annual","https://www.onetonline.org/link/details/45-2092.02","45-2092.02 - Farmworkers and Laborers, Crop"
"53","0","17","6","6","100","0","$10.58 hourly, $22,000 annual","https://www.onetonline.org/link/details/45-2092.01","45-2092.01 - Nursery Workers"
"54","0","17","0","6","100","0","$10.58 hourly, $22,000 annual","https://www.onetonline.org/link/details/45-2092.02","45-2092.02 - Farmworkers and Laborers, Crop"
"55","0","17","6","6","100","0","$10.58 hourly, $22,000 annual","https://www.onetonline.org/link/details/45-2092.01","45-2092.01 - Nursery Workers"
"56","0","45","22","28","95","0","$16.22 hourly, $33,740 annual","https://www.onetonline.org/link/details/37-3012.00","37-3012.00 - Pesticide Handlers, Sprayers, and Applicators, Vegetation"
"57","45","33","11","100","78","33","$29.95 hourly, $62,300 annual","https://www.onetonline.org/link/details/19-1013.00","19-1013.00 - Soil and Plant Scientists"
"58","6","22","22","6","100","6","$16.84 hourly, $35,030 annual","https://www.onetonline.org/link/details/37-3013.00","37-3013.00 - Tree Trimmers and Pruners"
"59","33","33","56","95","89","6","$35.40 hourly, $73,640 annual","https://www.onetonline.org/link/details/17-2021.00","17-2021.00 - Agricultural Engineers"
"60","0","17","11","11","100","0","$13.87 hourly, $28,850 annual","https://www.onetonline.org/link/details/45-2091.00","45-2091.00 - Agricultural Equipment Operators"
"61","6","67","17","50","100","6","$18.18 hourly, $37,820 annual","https://www.onetonline.org/link/details/49-3041.00","49-3041.00 - Farm Equipment Mechanics and Service Technicians"
"62","28","56","6","56","100","0","$23.68 hourly, $49,250 annual","https://www.onetonline.org/link/details/47-2021.00","47-2021.00 - Brickmasons and Blockmasons"
"63","28","61","11","45","100","0","$20.96 hourly, $43,600 annual","https://www.onetonline.org/link/details/47-2031.01","47-2031.01 - Construction Carpenters"
"64","22","61","11","61","100","0","$20.96 hourly, $43,600 annual","https://www.onetonline.org/link/details/47-2031.02","47-2031.02 - Rough Carpenters"
"65","6","28","33","6","100","11","$18.40 hourly, $38,280 annual","https://www.onetonline.org/link/details/47-2041.00","47-2041.00 - Carpet Installers"
"66","6","28","33","11","100","0","$18.84 hourly, $39,180 annual","https://www.onetonline.org/link/details/47-2051.00","47-2051.00 - Cement Masons and Concrete Finishers"
"67","28","61","11","45","100","0","$20.96 hourly, $43,600 annual","https://www.onetonline.org/link/details/47-2031.01","47-2031.01 - Construction Carpenters"
"68","0","28","22","0","100","0","$16.07 hourly, $33,430 annual","https://www.onetonline.org/link/details/47-2061.00","47-2061.00 - Construction Laborers"
"69","6","61","100","17","78","17","$42.93 hourly, $89,300 annual","https://www.onetonline.org/link/details/11-9021.00","11-9021.00 - Construction Managers"
"70","0","45","17","39","100","0","$24.92 hourly, $51,840 annual","https://www.onetonline.org/link/details/47-5041.00","47-5041.00 - Continuous Mining Machine Operators"
"71","0","28","22","0","95","0","$15.10 hourly, $31,410 annual","https://www.onetonline.org/link/details/53-7011.00","53-7011.00 - Conveyor Operators and Tenders"
"72","0","56","11","39","100","0","$25.08 hourly, $52,170 annual","https://www.onetonline.org/link/details/53-7021.00","53-7021.00 - Crane and Tower Operators"
"73","0","56","22","50","100","6","$23.14 hourly, $48,130 annual","https://www.onetonline.org/link/details/47-5011.00","47-5011.00 - Derrick Operators, Oil and Gas"
"74","0","17","11","6","100","0","$20.40 hourly, $42,420 annual","https://www.onetonline.org/link/details/53-7031.00","53-7031.00 - Dredge Operators"
"75","17","72","17","33","100","6","$19.75 hourly, $41,090 annual","https://www.onetonline.org/link/details/47-2081.00","47-2081.00 - Drywall and Ceiling Tile Installers"
"76","17","56","6","67","100","0","$21.33 hourly, $44,360 annual","https://www.onetonline.org/link/details/47-5021.00","47-5021.00 - Earth Drillers, Except Oil and Gas"
"77","6","39","28","39","100","6","$25.35 hourly, $52,720 annual","https://www.onetonline.org/link/details/47-2111.00","47-2111.00 - Electricians"
"78","0","11","17","11","100","0","$19.72 hourly, $41,030 annual","https://www.onetonline.org/link/details/53-7032.00","53-7032.00 - Excavating and Loading Machine and Dragline Operators"
"79","6","61","22","78","95","6","$25.08 hourly, $52,170 annual","https://www.onetonline.org/link/details/47-5031.00","47-5031.00 - Explosives Workers, Ordnance Handling Experts, and Blasters"
"80","6","61","28","28","100","0","$15.94 hourly, $33,150 annual","https://www.onetonline.org/link/details/47-4031.00","47-4031.00 - Fence Erectors"
"81","0","61","100","11","78","22","$30.28 hourly, $62,980 annual","https://www.onetonline.org/link/details/47-1011.00","47-1011.00 - First-Line Supervisors of Construction Trades and Extraction Workers"
"82","22","72","6","33","100","0","$18.19 hourly, $37,840 annual","https://www.onetonline.org/link/details/47-2042.00","47-2042.00 - Floor Layers, Except Carpet, Wood, and Hard Tiles"
"83","0","17","6","0","100","0","$17.72 hourly, $36,860 annual","https://www.onetonline.org/link/details/47-2043.00","47-2043.00 - Floor Sanders and Finishers"
"84","0","28","17","6","100","0","$20.16 hourly, $41,920 annual","https://www.onetonline.org/link/details/47-2121.00","47-2121.00 - Glaziers"
"85","0","22","11","0","100","6","$14.70 hourly, $30,570 annual","https://www.onetonline.org/link/details/47-3011.00","47-3011.00 - Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
"86","6","56","22","17","100","6","$13.85 hourly, $28,810 annual","https://www.onetonline.org/link/details/47-3012.00","47-3012.00 - Helpers--Carpenters"
"87","6","39","11","28","95","6","$14.20 hourly, $29,530 annual","https://www.onetonline.org/link/details/47-3013.00","47-3013.00 - Helpers--Electricians"
"88","0","56","17","28","100","17","$17.21 hourly, $35,790 annual","https://www.onetonline.org/link/details/47-5081.00","47-5081.00 - Helpers--Extraction Workers"
"89","11","28","22","0","95","6","$13.13 hourly, $27,310 annual","https://www.onetonline.org/link/details/47-3014.00","47-3014.00 - Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
"90","0","22","11","6","100","0","$13.96 hourly, $29,030 annual","https://www.onetonline.org/link/details/47-3015.00","47-3015.00 - Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
"91","0","56","17","17","100","17","$13.30 hourly, $27,670 annual","https://www.onetonline.org/link/details/47-3016.00","47-3016.00 - Helpers--Roofers"
"92","0","28","28","6","100","0","$20.45 hourly, $42,530 annual","https://www.onetonline.org/link/details/53-7041.00","53-7041.00 - Hoist and Winch Operators"
"93","0","22","11","6","95","0","$17.15 hourly, $35,660 annual","https://www.onetonline.org/link/details/47-2131.00","47-2131.00 - Insulation Workers, Floor, Ceiling, and Wall"
"94","11","67","11","50","100","0","$21.84 hourly, $45,430 annual","https://www.onetonline.org/link/details/47-2132.00","47-2132.00 - Insulation Workers, Mechanical"
"95","0","50","11","33","100","0","$25.68 hourly, $53,420 annual","https://www.onetonline.org/link/details/53-7033.00","53-7033.00 - Loading Machine Operators, Underground Mining"
"96","6","39","28","11","100","22","$14.33 hourly, $29,810 annual","https://www.onetonline.org/link/details/49-9095.00","49-9095.00 - Manufactured Building and Mobile Home Installers"
"97","0","17","6","6","100","0","$24.95 hourly, $51,900 annual","https://www.onetonline.org/link/details/47-5042.00","47-5042.00 - Mine Cutting and Channeling Machine Operators"
"98","0","56","11","39","100","0","$22.06 hourly, $45,890 annual","https://www.onetonline.org/link/details/47-2073.00","47-2073.00 - Operating Engineers and Other Construction Equipment Operators"
"99","11","28","11","0","100","0","$18.06 hourly, $37,570 annual","https://www.onetonline.org/link/details/47-2141.00","47-2141.00 - Painters, Construction and Maintenance"
"100","17","61","17","22","100","0","$16.23 hourly, $33,770 annual","https://www.onetonline.org/link/details/47-2142.00","47-2142.00 - Paperhangers"
"101","0","28","22","0","100","0","$18.74 hourly, $38,970 annual","https://www.onetonline.org/link/details/47-2071.00","47-2071.00 - Paving, Surfacing, and Tamping Equipment Operators"
"102","6","45","11","39","100","0","$26.48 hourly, $55,070 annual","https://www.onetonline.org/link/details/47-2072.00","47-2072.00 - Pile-Driver Operators"
"103","6","33","17","17","100","0","$24.74 hourly, $51,450 annual","https://www.onetonline.org/link/details/47-2152.01","47-2152.01 - Pipe Fitters and Steamfitters"
"104","0","22","22","6","100","6","$18.47 hourly, $38,410 annual","https://www.onetonline.org/link/details/47-2151.00","47-2151.00 - Pipelayers"
"105","22","22","17","0","100","0","$18.70 hourly, $38,890 annual","https://www.onetonline.org/link/details/47-2161.00","47-2161.00 - Plasterers and Stucco Masons"
"106","11","67","22","56","100","0","$24.74 hourly, $51,450 annual","https://www.onetonline.org/link/details/47-2152.02","47-2152.02 - Plumbers"
"107","6","33","17","17","100","0","$24.74 hourly, $51,450 annual","https://www.onetonline.org/link/details/47-2152.01","47-2152.01 - Pipe Fitters and Steamfitters"
"108","11","67","22","56","100","0","$24.74 hourly, $51,450 annual","https://www.onetonline.org/link/details/47-2152.02","47-2152.02 - Plumbers"
"109","11","61","0","39","100","0","$22.89 hourly, $47,600 annual","https://www.onetonline.org/link/details/47-2171.00","47-2171.00 - Reinforcing Iron and Rebar Workers"
"110","6","67","22","45","100","0","$21.97 hourly, $45,690 annual","https://www.onetonline.org/link/details/49-9096.00","49-9096.00 - Riggers"
"111","6","45","6","28","100","0","$16.36 hourly, $34,020 annual","https://www.onetonline.org/link/details/47-5051.00","47-5051.00 - Rock Splitters, Quarry"
"112","0","28","6","6","100","0","$27.30 hourly, $56,780 annual","https://www.onetonline.org/link/details/47-5061.00","47-5061.00 - Roof Bolters, Mining"
"113","0","28","11","17","100","0","$18.15 hourly, $37,760 annual","https://www.onetonline.org/link/details/47-2181.00","47-2181.00 - Roofers"
"114","0","39","50","17","100","17","$26.17 hourly, $54,430 annual","https://www.onetonline.org/link/details/47-5012.00","47-5012.00 - Rotary Drill Operators, Oil and Gas"
"115","22","61","11","61","100","0","$20.96 hourly, $43,600 annual","https://www.onetonline.org/link/details/47-2031.02","47-2031.02 - Rough Carpenters"
"116","0","17","6","6","100","0","$17.95 hourly, $37,340 annual","https://www.onetonline.org/link/details/47-5071.00","47-5071.00 - Roustabouts, Oil and Gas"
"117","11","28","22","0","100","0","$16.12 hourly, $33,530 annual","https://www.onetonline.org/link/details/47-4091.00","47-4091.00 - Segmental Pavers"
"118","0","56","22","45","100","6","$23.37 hourly, $48,610 annual","https://www.onetonline.org/link/details/47-5013.00","47-5013.00 - Service Unit Operators, Oil, Gas, and Mining"
"119","11","17","11","6","100","0","$22.57 hourly, $46,940 annual","https://www.onetonline.org/link/details/47-2211.00","47-2211.00 - Sheet Metal Workers"
"120","6","33","95","22","56","22","$30.28 hourly, $62,980 annual","https://www.onetonline.org/link/details/47-1011.03","47-1011.03 - Solar Energy Installation Managers"
"121","6","50","11","28","95","11","$18.87 hourly, $39,240 annual","https://www.onetonline.org/link/details/47-2231.00","47-2231.00 - Solar Photovoltaic Installers"
"122","17","17","17","0","100","6","$19.13 hourly, $39,780 annual","https://www.onetonline.org/link/details/47-2022.00","47-2022.00 - Stonemasons"
"123","6","33","17","33","100","0","$24.91 hourly, $51,800 annual","https://www.onetonline.org/link/details/47-2221.00","47-2221.00 - Structural Iron and Steel Workers"
"124","28","67","11","33","100","0","$18.14 hourly, $37,730 annual","https://www.onetonline.org/link/details/51-2041.00","51-2041.00 - Structural Metal Fabricators and Fitters"
"125","0","22","11","11","100","0","$23.56 hourly, $48,990 annual","https://www.onetonline.org/link/details/47-2082.00","47-2082.00 - Tapers"
"126","17","17","11","0","100","0","$19.68 hourly, $40,930 annual","https://www.onetonline.org/link/details/47-2053.00","47-2053.00 - Terrazzo Workers and Finishers"
"127","45","61","11","28","100","6","$19.45 hourly, $40,460 annual","https://www.onetonline.org/link/details/47-2044.00","47-2044.00 - Tile and Marble Setters"
"128","95","22","50","67","50","11","$36.99 hourly, $76,930 annual","https://www.onetonline.org/link/details/17-1011.00","17-1011.00 - Architects, Except Landscape and Naval"
"129","78","56","22","61","72","6","$24.83 hourly, $51,640 annual","https://www.onetonline.org/link/details/17-3011.01","17-3011.01 - Architectural Drafters"
"130","45","83","17","50","89","6","$24.83 hourly, $51,640 annual","https://www.onetonline.org/link/details/17-3011.02","17-3011.02 - Civil Drafters"
"131","78","56","22","61","72","6","$24.83 hourly, $51,640 annual","https://www.onetonline.org/link/details/17-3011.01","17-3011.01 - Architectural Drafters"
"132","45","83","17","50","89","6","$24.83 hourly, $51,640 annual","https://www.onetonline.org/link/details/17-3011.02","17-3011.02 - Civil Drafters"
"133","28","72","22","67","83","0","$24.03 hourly, $49,980 annual","https://www.onetonline.org/link/details/17-3022.00","17-3022.00 - Civil Engineering Technicians"
"134","28","56","28","83","95","6","$40.16 hourly, $83,540 annual","https://www.onetonline.org/link/details/17-2051.00","17-2051.00 - Civil Engineers"
"135","0","83","83","28","33","6","$29.71 hourly, $61,790 annual","https://www.onetonline.org/link/details/13-1051.00","13-1051.00 - Cost Estimators"
"136","6","67","11","67","56","0","$28.56 hourly, $59,390 annual","https://www.onetonline.org/link/details/17-1022.01","17-1022.01 - Geodetic Surveyors"
"137","95","6","72","11","33","33","$23.95 hourly, $49,810 annual","https://www.onetonline.org/link/details/27-1025.00","27-1025.00 - Interior Designers"
"138","89","22","50","72","67","11","$30.52 hourly, $63,480 annual","https://www.onetonline.org/link/details/17-1012.00","17-1012.00 - Landscape Architects"
"139","11","95","11","33","56","0","$20.41 hourly, $42,450 annual","https://www.onetonline.org/link/details/17-3031.02","17-3031.02 - Mapping Technicians"
"140","17","78","17","39","78","0","$20.41 hourly, $42,450 annual","https://www.onetonline.org/link/details/17-3031.01","17-3031.01 - Surveying Technicians"
"141","11","95","11","33","56","0","$20.41 hourly, $42,450 annual","https://www.onetonline.org/link/details/17-3031.02","17-3031.02 - Mapping Technicians"
"142","17","78","17","39","78","0","$20.41 hourly, $42,450 annual","https://www.onetonline.org/link/details/17-3031.01","17-3031.01 - Surveying Technicians"
"143","39","67","17","67","95","6","$28.56 hourly, $59,390 annual","https://www.onetonline.org/link/details/17-1022.00","17-1022.00 - Surveyors"
"144","17","45","39","83","95","6","$40.16 hourly, $83,540 annual","https://www.onetonline.org/link/details/17-2051.01","17-2051.01 - Transportation Engineers"
"145","0","28","11","11","100","0","$29.84 hourly, $62,060 annual","https://www.onetonline.org/link/details/47-2011.00","47-2011.00 - Boilermakers"
"146","6","22","22","22","100","0","$23.60 hourly, $49,090 annual","https://www.onetonline.org/link/details/49-9092.00","49-9092.00 - Commercial Divers"
"147","0","50","17","22","95","17","$17.73 hourly, $36,890 annual","https://www.onetonline.org/link/details/47-4099.02","47-4099.02 - Solar Thermal Installers and Technicians"
"148","0","50","28","28","95","22","$17.73 hourly, $36,890 annual","https://www.onetonline.org/link/details/47-4099.03","47-4099.03 - Weatherization Installers and Technicians"
"149","0","61","17","50","100","0","$26.21 hourly, $54,520 annual","https://www.onetonline.org/link/details/49-9012.00","49-9012.00 - Control and Valve Installers and Repairers, Except Mechanical Door"
"150","22","50","11","56","100","0","$32.70 hourly, $68,010 annual","https://www.onetonline.org/link/details/49-9051.00","49-9051.00 - Electrical Power-Line Installers and Repairers"
"151","11","61","22","67","100","0","$37.93 hourly, $78,890 annual","https://www.onetonline.org/link/details/47-4021.00","47-4021.00 - Elevator Installers and Repairers"
"152","6","67","100","17","78","28","$21.99 hourly, $45,740 annual","https://www.onetonline.org/link/details/37-1012.00","37-1012.00 - First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
"153","17","61","33","61","100","6","$22.07 hourly, $45,910 annual","https://www.onetonline.org/link/details/49-9021.01","49-9021.01 - Heating and Air Conditioning Mechanics and Installers"
"154","17","61","33","61","100","6","$22.07 hourly, $45,910 annual","https://www.onetonline.org/link/details/49-9021.01","49-9021.01 - Heating and Air Conditioning Mechanics and Installers"
"155","0","33","33","11","100","0","$22.07 hourly, $45,910 annual","https://www.onetonline.org/link/details/49-9021.02","49-9021.02 - Refrigeration Mechanics and Installers"
"156","0","72","11","61","100","6","$13.23 hourly, $27,510 annual","https://www.onetonline.org/link/details/49-9098.00","49-9098.00 - Helpers--Installation, Maintenance, and Repair Workers"
"157","0","56","22","33","100","6","$18.33 hourly, $38,130 annual","https://www.onetonline.org/link/details/47-4051.00","47-4051.00 - Highway Maintenance Workers"
"158","33","56","28","33","100","6","$12.65 hourly, $26,320 annual","https://www.onetonline.org/link/details/37-3011.00","37-3011.00 - Landscaping and Groundskeeping Workers"
"159","0","28","22","22","100","0","$18.50 hourly, $38,480 annual","https://www.onetonline.org/link/details/49-9011.00","49-9011.00 - Mechanical Door Repairers"
"160","11","33","6","33","100","0","$25.21 hourly, $52,440 annual","https://www.onetonline.org/link/details/49-9044.00","49-9044.00 - Millwrights"
"161","0","45","11","39","100","0","$21.74 hourly, $45,230 annual","https://www.onetonline.org/link/details/49-9045.00","49-9045.00 - Refractory Materials Repairers, Except Brickmasons"
"162","0","33","33","11","100","0","$22.07 hourly, $45,910 annual","https://www.onetonline.org/link/details/49-9021.02","49-9021.02 - Refrigeration Mechanics and Installers"
"163","0","22","28","11","100","6","$17.51 hourly, $36,430 annual","https://www.onetonline.org/link/details/47-4071.00","47-4071.00 - Septic Tank Servicers and Sewer Pipe Cleaners"
"164","0","50","17","22","95","17","$17.73 hourly, $36,890 annual","https://www.onetonline.org/link/details/47-4099.02","47-4099.02 - Solar Thermal Installers and Technicians"
"165","0","56","22","61","100","6","$28.56 hourly, $59,400 annual","https://www.onetonline.org/link/details/51-8021.00","51-8021.00 - Stationary Engineers and Boiler Operators"
"166","0","50","28","28","95","22","$17.73 hourly, $36,890 annual","https://www.onetonline.org/link/details/47-4099.03","47-4099.03 - Weatherization Installers and Technicians"
"167","39","61","11","67","100","0","$20.30 hourly, $42,230 annual","https://www.onetonline.org/link/details/27-4011.00","27-4011.00 - Audio and Video Equipment Technicians"
"168","89","22","61","50","6","67","$27.25 hourly, $56,680 annual","https://www.onetonline.org/link/details/27-3021.00","27-3021.00 - Broadcast News Analysts"
"169","11","72","17","56","100","11","$18.54 hourly, $38,550 annual","https://www.onetonline.org/link/details/27-4012.00","27-4012.00 - Broadcast Technicians"
"170","83","45","22","28","89","22","$26.48 hourly, $55,080 annual","https://www.onetonline.org/link/details/27-4031.00","27-4031.00 - Camera Operators, Television, Video, and Motion Picture"
"171","89","33","95","33","11","22","$29.44 hourly, $61,240 annual","https://www.onetonline.org/link/details/27-3043.04","27-3043.04 - Copy Writers"
"172","89","50","83","17","6","17","$27.51 hourly, $57,210 annual","https://www.onetonline.org/link/details/27-3041.00","27-3041.00 - Editors"
"173","95","22","45","45","28","11","$30.18 hourly, $62,760 annual","https://www.onetonline.org/link/details/27-4032.00","27-4032.00 - Film and Video Editors"
"174","83","6","39","17","61","22","$16.38 hourly, $34,070 annual","https://www.onetonline.org/link/details/27-4021.00","27-4021.00 - Photographers"
"175","100","17","45","67","11","22","$29.44 hourly, $61,240 annual","https://www.onetonline.org/link/details/27-3043.05","27-3043.05 - Poets, Lyricists and Creative Writers"
"176","78","17","72","17","0","61","$15.10 hourly, $31,400 annual","https://www.onetonline.org/link/details/27-3011.00","27-3011.00 - Radio and Television Announcers"
"177","6","56","17","17","89","0","$22.24 hourly, $46,250 annual","https://www.onetonline.org/link/details/27-4013.00","27-4013.00 - Radio Operators"
"178","89","33","56","50","11","28","$18.18 hourly, $37,820 annual","https://www.onetonline.org/link/details/27-3022.00","27-3022.00 - Reporters and Correspondents"
"179","67","45","39","28","95","0","$25.81 hourly, $53,680 annual","https://www.onetonline.org/link/details/27-4014.00","27-4014.00 - Sound Engineering Technicians"
"180","89","45","28","56","6","6","$33.58 hourly, $69,850 annual","https://www.onetonline.org/link/details/27-3042.00","27-3042.00 - Technical Writers"
"181","89","33","95","33","11","22","$29.44 hourly, $61,240 annual","https://www.onetonline.org/link/details/27-3043.04","27-3043.04 - Copy Writers"
